201				
Z	TKE	omega	TI	L
0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.50000E-06	8.50348E-06	8.28686E+05	2.11241E-03	3.90990E-08
7.55000E-06	1.02470E-04	2.11896E+05	7.33294E-03	5.30803E-07
1.27000E-05	4.79932E-04	9.15250E+04	1.58697E-02	2.65955E-06
1.79500E-05	1.28524E-03	5.36673E+04	2.59697E-02	7.42232E-06
2.33000E-05	2.34463E-03	3.70789E+04	3.50758E-02	1.45100E-05
2.87600E-05	3.34788E-03	2.78081E+04	4.19132E-02	2.31191E-05
3.43300E-05	4.16708E-03	2.18843E+04	4.67605E-02	3.27749E-05
4.00100E-05	4.80795E-03	1.77993E+04	5.02275E-02	4.32847E-05
4.58000E-05	5.30890E-03	1.48279E+04	5.27791E-02	5.45984E-05
5.17000E-05	5.70222E-03	1.25886E+04	5.46991E-02	6.66503E-05
5.77200E-05	6.01530E-03	1.08602E+04	5.61806E-02	7.93503E-05
6.38500E-05	6.26988E-03	9.49781E+03	5.73570E-02	9.26326E-05
7.01000E-05	6.48199E-03	8.40110E+03	5.83190E-02	1.06482E-04
7.64800E-05	6.66209E-03	7.50219E+03	5.91236E-02	1.20886E-04
8.29800E-05	6.81748E-03	6.75438E+03	5.98090E-02	1.35826E-04
8.96100E-05	6.95360E-03	6.12431E+03	6.04030E-02	1.51288E-04
9.63700E-05	7.07453E-03	5.58747E+03	6.09259E-02	1.67260E-04
1.03250E-04	7.18336E-03	5.12554E+03	6.13927E-02	1.83731E-04
1.10270E-04	7.28245E-03	4.72460E+03	6.18146E-02	2.00693E-04
1.17430E-04	7.37363E-03	4.37392E+03	6.22003E-02	2.18136E-04
1.24720E-04	7.45832E-03	4.06507E+03	6.25564E-02	2.36053E-04
1.32160E-04	7.53766E-03	3.79134E+03	6.28881E-02	2.54439E-04
1.39740E-04	7.61256E-03	3.54738E+03	6.31997E-02	2.73285E-04
1.47460E-04	7.68374E-03	3.32883E+03	6.34944E-02	2.92585E-04
1.55330E-04	7.75178E-03	3.13213E+03	6.37749E-02	3.12333E-04
1.63360E-04	7.81715E-03	2.95433E+03	6.40431E-02	3.32524E-04
1.71530E-04	7.88025E-03	2.79299E+03	6.43010E-02	3.53149E-04
1.79860E-04	7.94138E-03	2.64606E+03	6.45499E-02	3.74202E-04
1.88360E-04	8.00081E-03	2.51178E+03	6.47909E-02	3.95679E-04
1.97010E-04	8.05875E-03	2.38870E+03	6.50250E-02	4.17570E-04
2.05820E-04	8.11538E-03	2.27554E+03	6.52530E-02	4.39873E-04
2.14810E-04	8.17083E-03	2.17123E+03	6.54755E-02	4.62578E-04
2.23960E-04	8.22523E-03	2.07483E+03	6.56930E-02	4.85679E-04
2.33290E-04	8.27866E-03	1.98553E+03	6.59060E-02	5.09168E-04
2.42790E-04	8.33121E-03	1.90262E+03	6.61148E-02	5.33040E-04
2.52470E-04	8.38294E-03	1.82548E+03	6.63197E-02	5.57287E-04
2.62330E-04	8.43390E-03	1.75356E+03	6.65209E-02	5.81904E-04
2.72380E-04	8.48413E-03	1.68639E+03	6.67186E-02	6.06880E-04
2.82610E-04	8.53365E-03	1.62354E+03	6.69130E-02	6.32211E-04
2.93030E-04	8.58249E-03	1.56464E+03	6.71042E-02	6.57885E-04
3.03650E-04	8.63067E-03	1.50934E+03	6.72922E-02	6.83900E-04
3.14470E-04	8.67818E-03	1.45735E+03	6.74771E-02	7.10245E-04
3.25480E-04	8.72505E-03	1.40839E+03	6.76591E-02	7.36917E-04
3.36700E-04	8.77127E-03	1.36223E+03	6.78380E-02	7.63903E-04
3.48120E-04	8.81683E-03	1.31865E+03	6.80139E-02	7.91196E-04
3.59760E-04	8.86173E-03	1.27746E+03	6.81868E-02	8.18784E-04
3.71610E-04	8.90596E-03	1.23847E+03	6.83568E-02	8.46666E-04
3.83670E-04	8.94951E-03	1.20152E+03	6.85237E-02	8.74835E-04
3.95950E-04	8.99237E-03	1.16647E+03	6.86875E-02	9.03277E-04
4.08460E-04	9.03452E-03	1.13318E+03	6.88483E-02	9.31990E-04
4.21190E-04	9.07595E-03	1.10154E+03	6.90060E-02	9.60955E-04
4.34150E-04	9.11664E-03	1.07143E+03	6.91605E-02	9.90173E-04
4.47350E-04	9.15657E-03	1.04276E+03	6.93117E-02	1.01962E-03
4.60780E-04	9.19572E-03	1.01542E+03	6.94598E-02	1.04931E-03
4.74450E-04	9.23408E-03	9.89334E+02	6.96045E-02	1.07922E-03
4.88370E-04	9.27162E-03	9.64426E+02	6.97458E-02	1.10934E-03
5.02530E-04	9.30833E-03	9.40621E+02	6.98837E-02	1.13967E-03
5.16950E-04	9.34418E-03	9.17853E+02	7.00182E-02	1.17019E-03
5.31620E-04	9.37915E-03	8.96061E+02	7.01491E-02	1.20089E-03
5.46540E-04	9.41323E-03	8.75188E+02	7.02764E-02	1.23176E-03
5.61730E-04	9.44639E-03	8.55183E+02	7.04001E-02	1.26279E-03
5.77180E-04	9.47862E-03	8.35995E+02	7.05201E-02	1.29398E-03
5.92910E-04	9.50989E-03	8.17582E+02	7.06363E-02	1.32530E-03
6.08900E-04	9.54018E-03	7.99901E+02	7.07488E-02	1.35675E-03
6.25170E-04	9.56949E-03	7.82913E+02	7.08573E-02	1.38832E-03
6.41730E-04	9.59778E-03	7.66583E+02	7.09620E-02	1.41998E-03
6.58560E-04	9.62504E-03	7.50877E+02	7.10628E-02	1.45174E-03
6.75690E-04	9.65125E-03	7.35764E+02	7.11595E-02	1.48358E-03
6.93100E-04	9.67642E-03	7.21217E+02	7.12522E-02	1.51548E-03
7.10810E-04	9.70055E-03	7.07184E+02	7.13410E-02	1.54747E-03
7.28810E-04	9.72367E-03	6.93555E+02	7.14260E-02	1.57976E-03
7.47120E-04	9.74568E-03	6.80225E+02	7.15069E-02	1.61254E-03
7.65740E-04	9.76631E-03	6.67172E+02	7.15825E-02	1.64583E-03
7.84660E-04	9.78527E-03	6.54426E+02	7.16521E-02	1.67951E-03
8.03900E-04	9.80241E-03	6.42020E+02	7.17149E-02	1.71347E-03
8.23460E-04	9.81771E-03	6.29963E+02	7.17709E-02	1.74762E-03
8.43330E-04	9.83118E-03	6.18245E+02	7.18202E-02	1.78197E-03
8.63530E-04	9.84287E-03	6.06845E+02	7.18630E-02	1.81652E-03
8.84060E-04	9.85277E-03	5.95745E+02	7.18992E-02	1.85130E-03
9.04910E-04	9.86087E-03	5.84929E+02	7.19289E-02	1.88631E-03
9.26110E-04	9.86718E-03	5.74389E+02	7.19520E-02	1.92153E-03
9.47640E-04	9.87169E-03	5.64113E+02	7.19685E-02	1.95698E-03
9.69510E-04	9.87439E-03	5.54093E+02	7.19784E-02	1.99265E-03
9.91730E-04	9.87530E-03	5.44321E+02	7.19818E-02	2.02851E-03
